doi,author,title,year,abstract,journal
10.1017/cnj.2023.4,Ana T. Pérez-Leroux; Yves Roberge; Manami Hirayama; Midori Hayashi; Kazuya Bamba,On the L1 acquisition of recursive no in Japanese,2023,"This article investigates the emergence of recursive DPs in child language. In certain languages, DP modification can be achieved via diverse structures and any number of different embedding markers (prepositions, particles, case-marker, etc.), each having to be learned; this diversity may impact the L1 development of recursive DP modification. Japanese, in contrast, relies on two uniform unrestricted strategies: the adnominal particle の (no) or a relative clause. We report the results of an elicited production study comparing the production of recursive DPs in Japanese-speaking children and adults. Our results show that Japanese children were much like adults in the types of semantic modificational relations that elicited the most target responses. Children were different from adults in that they were: a) much less successful overall, and b) they preferred no, independently of whether the condition was biased toward no. We review the implications of these findings for analyses of no.",CANADIAN JOURNAL OF LINGUISTICS
10.1017/cnj.2023.3,Stefano Rastelli,Telic for whom? The Lexical Underspecification Hypothesis,2023,"The Aspect Hypothesis (AH) claims that L2 beginners use the perfective morpheme first with telic predicates (e.g., ‘arrive’, ‘build the house’) and only later with atelic ones (e.g., ‘know’, ‘work’). In contrast, the Lexical Underspecification Hypothesis (LUH) claims that beginners cannot represent the lexical aspect of L2 predicates (hence the telic vs. atelic distinction), because this distinction is a separate component of verb meaning. To investigate whether L2 learners distinguish between telic and atelic predicates, this study compares the responses from 299 L2 Italian learners (with different L1 backgrounds) and responses from 91 native speakers (NS) to the “for/in + time span” adverbial test (Dowty 1979). The analysis shows that native speakers and L2 learners’ responses to the adverbial test diverge significantly, with learners’ proficiency and – to a lesser extent – L1 modulating their ratings. The results suggest that native speakers and beginning-intermediate L2 learners might not represent telicity alike, either because L2 aspectual competence is still developing or because beginning learners rely on the semantic representations of their L1. These findings support the predictions of the LUH and suggest caution when trying to assess learners’ aspectual representations.",CANADIAN JOURNAL OF LINGUISTICS
10.1017/cnj.2023.9,Mohammad Alhailawani,The syntax of silent directional prepositions in Jordanian Arabic,2023,"In Jordanian Arabic (JA), the complement of some motion verbs optionally appears without a visible preposition in what is known as (P)reposition-drop (Ioannidou and den Dikken 2009). This article offers a detailed description of P-drop in JA, showing that the common properties of P-drop found in languages with P-drop hold in JA. I argue that Gehrke and Lekakou's (2013) pseudo noun incorporation approach to P-drop cannot account for the P-drop facts in JA. I show, through different diagnostics, that the prepositionless noun in JA does not exhibit the typical properties of pseudo-incorporated nouns. Instead, I argue that P-drop in JA involves a full PP–DP structure with a silent P head (Ioannidou and den Dikken 2009, Myler 2013, Biggs 2014, Bailey 2018). The findings of this article add insights to the ongoing debate regarding the underlying mechanisms involved in P-drop.",CANADIAN JOURNAL OF LINGUISTICS
10.1017/cnj.2023.5,Taofeeq Adebayo,Emerging grammars in contemporary Yoruba phonology,2023,"This article provides a description and an Optimality Theory (OT) analysis of contact-induced changes and variation in contemporary Yoruba syllable structure. The article claims that a major diachronic change has occurred in the syllable structure of Yoruba phonology due to its continued contact with English, resulting in the invention, preservation, and hypercorrection of clusters and codas. I characterize this change in terms of OT constraint re-ranking (Miglio and Moren 2003) and assess the resulting synchronic variation against the indexed constraint approach of Itô and Mester (1995a, b, 1999), the ranked-winners approach of Coetzee (2004), the partial-order co-phonology of Anttila (1997), and the Maximum Entropy (MaxEnt) model of Goldwater and Johnson (2003). I show that none of these approaches is able to account independently for the categorical, gradient, and lexically conditioned variation that characterize the contemporary Yoruba syllable structure, but rather that a MaxEnt model augmented with lexical indexation is the most economical model that fits the Yoruba data accurately.",CANADIAN JOURNAL OF LINGUISTICS
10.1017/cnj.2023.12,Richard Stockwell,Small clause predicates and sluicing,2023,"This Commentaire bears out a prediction of Anand et al.'s (to appear) syntactic identity condition on sluicing. Identity is calculated over argument domains as small as small clauses. With extraction of a small clause subject, sluicing is possible where only a small clause predicate has an antecedent.",CANADIAN JOURNAL OF LINGUISTICS
10.1017/cnj.2023.8,William W. Kruger,Remarks on labelling and determinacy,2023,"Work by Chomsky et al. (2019) and Epstein et al. (2018) develops a third-factor principle of computational efficiency called “Determinacy”, which rules out “ambiguous” syntactic rule-applications by requiring one-to-one correspondences between the input or output of a rule and a single term in the domain of that rule. This article first adopts the concept of “Input Determinacy” articulated by Goto and Ishii (2019, 2020), who apply Determinacy specifically to the input of operations like Merge, and then proposes to extend Determinacy to the labeling procedure developed by Chomsky (2013, 2015). In particular, Input Determinacy can explain restrictions on labeling in contexts where multiple potential labels are available (labeling ambiguity), and it can also provide an explanation for Chomsky's (2013, 2015) proposal that syntactic movement of an item (“Internal Merge”) renders that item invisible to the labeling procedure.",CANADIAN JOURNAL OF LINGUISTICS
10.1017/cnj.2023.10,Gerardo Fernández-Salgueiro,On the properties of phase heads in raising and passive clauses: DP movement and Transfer options,2023,"This short article proposes to eliminate asymmetries between the CP and vP phases by arguing for a more uniform clause structure in which both phase heads, C and v, are always present in a derivation but may be removed from the workspace by Transfer. I argue that C is present in the derivation of raising clauses but is removed from the workspace after DP movement yields intersecting sets, in the sense of Epstein et al. (2012, 2015).",CANADIAN JOURNAL OF LINGUISTICS
10.1017/cnj.2023.13,Naomi Lee; Laurel Mackenzie,Social role effects on English particle verb variation fail to replicate,2023,"The English particle verb alternation has been argued to be sensitive to the social role occupied by speakers on radio broadcasts; Kroch and Small (1978) argue that radio show hosts and in-studio guests’ greater sensitivity to prescriptive norms makes them more likely to use the joined variant of the alternation than listeners calling in to the show. This study analyzes 10,521 tokens of variable particle verbs from the RadioTalk Corpus (Beeferman et al. 2019) to try to replicate the effect of speaker role. Our analysis confirms that direct object length, register, a measure of frequency, semantic compositionality of the particle verb, and the particle's prosody all condition the alternation. However, the effect of social role does not replicate.",CANADIAN JOURNAL OF LINGUISTICS
10.1017/cnj.2022.40,Kyumin Kim,"Motion verbs, sentience, and event delimitedness in Blackfoot",2023,"This paper provides the first detailed documentation of aspectual properties of motion verbs in Blackfoot (an Algonquian language) from the Kainaa dialect. In particular, the focus of the paper is to detail how a sentient subject in this language is associated with an inherent endpoint of motion events (i.e., delimitedness). I show that in Blackfoot, an event can have a delimited construal when a sentient subject is an agent (but not a theme). A language-specific requirement for event delimitedness is thus the presence of an external argument that is sentient, which I formalize as a feature [m(ental state)] on a DP, as in Ritter (2015). A major contribution of the current study is thus to show that event delimitedness can be constrained by formal features of the external argument, whereas previously only the internal argument was thought to be involved in event delimitedness.",CANADIAN JOURNAL OF LINGUISTICS
10.1017/cnj.2022.41,Ekaterina Lyutikova; Anastasia Gerasimova,Negative Concord and locality in Russian,2023,"This article addresses locality conditions on Negative Concord (NC) in Russian. We examine long-distance licensing of “negative” ni-pronouns in subject- and object-control infinitives. Existing theories of negative concord rely in one way or another on the movement of negative concord items (NCI): either as a direct licensing condition, or as a prerequisite for entering a local configuration with the licensor. Consequently, theories predict that ni-pronoun movement to the matrix clause (i.e., the local domain of the matrix licensor) would increase acceptability of ni-licensing. Using experimental data, we explore various linear positions available for ni-pronouns in the matrix clause and in embedded infinitival clauses. We show that movement is not required for long-distance licensing, and that derived positions of ni-pronouns are independent of ni-licensing. We argue that although ni-licensing and movement both obey locality constraints, they differ as to the type of locality required. This article presents evidence for recent proposals that movement and agreement have different properties with respect to locality constraints.",CANADIAN JOURNAL OF LINGUISTICS
