doi,author,title,year,abstract,journal
10.1075/eww.17.2.02gor,Manfred Görlach,And is it English?,1996,"Varieties of English defined by users (as dialects, sociolects and chronolects) andby uses (according to medium, formality, text type, etc.) have been the object ofdescription in various places, and have of course functioned conspicuously in thisjournal which has the topic as part of its title. By contrast, the questions of whatcan be considered English, and how its outer boundaries are defined, have beenasked less frequently, and not in any comprehensive way. (In EWW I havefollowed a pragmatic editorial course in admitting varieties which have somelinguistic relationship with English and are in a contact situation/coexistence withEnglish in the speech community discussed.) My paper looks at a few &apos;problemcases&apos; among utterances, in particular at various forms of broken English andlinguistic experiments, at language mix and code-switching and then turns tolinguistic systems, with semi-languages, pidgins, creoles, cants and mixed languagessingled out for detailed discussion. A classification of the varieties treatedobviously depends on the degree of their divergence from English, their functionalrange and standardization, users&apos; attitudes and the ways how the language isacquired — four factors which can have different weight for the classification inthe individual case.",ENGLISH WORLD-WIDE
10.1075/eww.17.2.03col,Beverley Collins; Inger M. Mees,Spreading everwhere?: How Recent a Phenomenon is Glottalisation in Received Pronunciation?,1996,"There is no doubt that glottalisation of syllable-final stops in Received Pronunciation is on the increase, but this has sometimes been taken to imply that the feature has mushroomed as a late 20th-century phenomenon. This paper sets out to show that glottalisation is actually of some antiquity. Explicit references (by reputable linguists) to glottalisation in the standard language date from the early 1920s, while audio recordings going back even further provide us with direct proof. If apparent time is taken into account, such data could indicate that glottalisation was quite common from at least the mid-19th century onwards.",ENGLISH WORLD-WIDE
10.1075/eww.17.2.04kre,"William A. Kretzschmar, Jr.",Dimensions of Variation in American English Vocabulary,1996,"Vocabulary varies in more than just the single dimension of the list of words that appears in typical desk-size dictionaries. Attention to the multidimensional nature of lexical variation can contribute in important ways to our understanding of language, and more particularly to the situation of a language in its particular culture. The vocabulary of AmE has less to do with supposedly authoritative wordlists than it does with the the cultural, historical, regional, and social life of the country, and this can be illustrated from specialized dictionaries. A special focus of this essay is quantitative analysis. The features of a language may be con-sidered in terms of either magnitude or frequency, and such treatment has the potential to inform our understanding not only of a particular language, but of the workings of language taken more generally. Lexical variation is pervasive and normal: we should observe the interactions of the qualitative, quantitative, and structural dimensions of a language that promote the variation, and we should think differently about what a language is and how it works if we are to account for such behavior by words.",ENGLISH WORLD-WIDE
10.1075/eww.17.2.05dev,Hubert Devonish,Kom Groun Jamiekan Daans Haal Liricks: Memba SE A Plie Wi A Plie: Contextualizing Jamaican 'Dance Hall' music: Jamaican language at play in a speech event,1996,"This article analyses a Jamaican cultural event, ""Dance Hall"", as a speech event. It then focusses on a particular controversy surrounding the lyrics of a piece of dance hall music performed by Buju Banton. It argues that much of the discussion about the lyrics in Britain and the USA dealt with these lyrics outside the sociolinguistic context of the Jamaican dance hall within which Buju Banton&apos;s recorded performance would be understood by many Jamaicans to belong. The article further argues that the international misunderstanding is compounded by the fact that Jamaicans as a group refuse to recognise Jamaican, the language of the lyrics, as a language separate and apart from English. The conclusion is that if this were to happen, it would be easier to present Jamaican cultural output to the international community in a manner which forces that community to understand and respect the linguistic and sociocultural autonomy of such output. Since Jamaican (i.e. Jamaican Creole) is the language of dance hall performances, the article was written in Jamaican and an English translation provided. There is a brief discussion of the process by which a sociolinguistic academic article was conceived of and written in Jamaican, traditionally a language of oral informal discourse.",ENGLISH WORLD-WIDE
10.1075/eww.17.1.02har,John Harris,ON THE TRAIL OF SHORT u,1996,"This article attempts a detailed reconstruction of recent developments in the history of English short u, the category that in southern English and its descendants shows up as a high vowel in PUT and a lowered vowel in CUT. Combining the comparative method with the interpretation of the historical documentary record, the exercise sets out to answer questions such as the following. At what stage did lowering result in a full-blown split between CUT and PUT? At what point did unrounding set in? Did lowering follow a peripheral or a central trajectory in vowel space? What mechanisms of change were involved — classically regular neogrammarian sound change or irregular lexical diffusion?The comparative aspect of the reconstruction draws heavily on vernacular Englishes which have emerged relatively recently in circumstances of large-scale language contact and shift, particularly those spoken in Ireland, West Africa and the Caribbean. The immediate significance of these varieties is that they emerged during a period when short u was in a state of considerable flux in the metropolitan language. The phonetic realisation and systemic organisation of the PUT and CUT vowels in these varieties offer certain direct insights into the history of short u that are no longer available in other dialects.",ENGLISH WORLD-WIDE
10.1075/eww.18.2.03hyl,Ken Hyland,Language Attitudes at the Handover: Communication and Identity in 1997 Hong Kong,1997,"Britain&apos;s 150 year colonial administration of Hong Kong came to an end in June 1997 when the territory reverted to Chinese sovereignty. Because the fate of languages is closely related to the power of different groups in a society, this constitutional transition raises important issues of language and identity. At present English continues to play an important role in business and administration while Cantonese is the lingua franca of a highly cohesive and independent community. However, the extent to which the colonial language is a component of the Territory&apos;s identity, and the prospect of it retaining an influential role, remains to be seen. Reunification is likely to have a considerable impact on language attitudes and use with Putonghua, the official language of mainland China, emerging to challenge English and Cantonese as a high status language in public domains. This paper builds on previous studies by Pierson et al. (1980) and Pennington &amp; Yue (1994) to examine the changing language attitudes brought about by the handover. A questionnaire was administered to 900 Hong Kong undergraduates to discover students&apos; perspectives on language and cultural identity, social, affective and instrumental attitudes and general predictions for language use with a view towards the political transition.",ENGLISH WORLD-WIDE
10.1075/eww.18.2.04bry,Pauline Bryant,A Dialect Survey of the Lexicon of Australian English,1997,"The first dialect study of regional variation in the lexicon of Australian English (AusE), which has generally been thought to be regionally uniform, has found two classes of regional words, obligatory and elective, which give rise to two regional distribution patterns. Mapping the distribution of regional names for 67 items has identified four major dialect regions, two of which have sub-regions, as well as two minor sub-regions, and several local regions identified by only one or two words. A comparison with other English-speaking countries found several characteristics of regional variation unique to Australia, but also strong similarities to other previously colonised countries. The nature of regional variation in AusE has obscured the existence of previously unnoticed regional diversity within the well-known uniformity of the language.",ENGLISH WORLD-WIDE
10.1075/eww.18.2.05bel,Allan Bell,The Phonetics of Fish and Chips in New Zealand: Marking National and Ethnic Identities,1997,"Centralization of the short /I/ vowel (as in KIT) is regarded by both linguists and lay observers as a defining feature of New Zealand English and even of national identity, especially when contrasted with the close front Australian realization. Variation in the KIT vowel is studied in the conversation of a sociolinguistic sample of 60 speakers of NZE, structured by gender, ethnicity (Maori and Pakeha [Anglo]) and age. KIT realizations are scattered from close front through to rather low backed positions, although some phonetic environments favour fronter variants. All Pakeha and most Maori informants use centralized realizations most of the time, but some older Maori speakers use more close front variants. This group is apparently influenced by the realization of short /I/ in the Maori language, as these are also the only fluent speakers of Maori in the sample. Close front realizations of KIT thus serve as a marker of Maori ethnicity, while centralization marks general New Zealand identity. Centralized /I/ appears to have been established in NZE by the early 20th century",ENGLISH WORLD-WIDE
10.1075/eww.18.2.07leg,J.P. Legg,Cape English and its Future [1890-91],1997,"The short article here reprinted from the Cape Illustrated Magazine 1 (1890-91), 94-96, draws our attention to an early stage of language contact in South Africa. Well before the Boer War, and with Pettman&apos;s scathing remarks on the English spoken in the country still to come, the author of the article points out with some concern that the local English is likely to drift away from BrE, an attitude which was of course common in British colonies of the time — when normativity and the belief in correct English (including RP pronunciation) were at a peak in Britain.",ENGLISH WORLD-WIDE
10.1075/eww.18.1.02gor,Manfred Görlach,Language and Nation: The Concept of Linguistic Identity in the History of English,1997,"The concept of linguistic nationalism is first recorded for England in the 16th century, when the dominance of English had to be re-established in fields like the law, science and administration. In the centuries that followed, statements underlining the link between national language and nation are few — even on the Celtic fringe. It was the American Revolution which gave birth to a new centre of anglophones proud of their independent standards; a similar development but with increasingly weaker results has affected Australia, New Zealand, Canada and South Africa. Second-language countries like India are trailing even further behind, not to mention the problems of creole communities like those in the Caribbean, West Africa or the Southwest Pacific. My paper looks at these communities for evidence of a correlation between linguistic and political independence, standardization and prestige associated with use of the vernacular, and discusses problems connected with the development of alternatives like the standardization of an indigenous language to serve as a badge of national prestige, and as an expression of democratic intentions.",ENGLISH WORLD-WIDE
