doi,author,title,year,abstract,journal
10.1007/s10988-017-9215-x,Eric Snyder,Numbers and Cardinalities: What’s Really Wrong with the Easy Argument for Numbers?,2017,"This paper investigates a certain puzzling argument concerning number expressions and their meanings, the Easy Argument for Numbers. After finding faults with previous views, I offer a new take on what’s ultimately wrong with the Argument: it equivocates. I develop a semantics for number expressions which relates various of their uses, including those relevant to the Easy Argument, via type-shifting. By marrying Romero ’s (Linguist Philos 28(6):687–737, 2005) analysis of specificational clauses with Scontras ’ (The semantics of measurement, 2014) semantics for Degree Nouns, I show how to extend Landman ’s (Indefinites and the type of sets, Blackwell, Oxford, 2004) Adjectival Theory to numerical specificational clauses. The resulting semantics can explain various contrasts observed by Moltmann (Philos Stud 162:499–536, 2013a), but only if Scontras’ contention that degrees and numbers are sortally distinct is correct. At the same time, the Easy Argument can establish its intended conclusion only if numbers and degrees are mistakenly assumed to be identical.",LINGUISTICS AND PHILOSOPHY
10.1007/s10988-017-9217-8,Jefferson Barlew,Focus on numbers,2017,"This paper contributes to the debate over the so-called “easy argument for numbers”, an argument that uses evidence from natural language to support the metaphysically significant claim that numbers exist. It presents novel data showing that critical examples in the literature are ambiguous between two readings, contrary to previous assumptions. It then accounts for these data using independently motivated linguistic theory. The account developed rescues the easy argument from the primary challenges leveled against it in the literature and sets the agenda for future work to determine whether or not the argument is valid.",LINGUISTICS AND PHILOSOPHY
10.1007/s10988-017-9213-z,Brendan Balcerak Jackson; Doris Penka,"Number word constructions, degree semantics and the metaphysics of degrees",2017,"A central question for ontology is the question of whether numbers really exist. But it seems easy to answer this question in the affirmative. The truth of a sentence like (1) ‘Seven students came to the party’ can be established simply by looking around at the party and counting students. A trivial paraphrase of (1) is (2) ‘The number of students who came to the party is seven’. But (2) appears to entail the existence of a number, and so it seems that we must conclude that numbers exist. This is sometimes called the puzzle of how we can get something from nothing. Most extant attempts to solve the puzzle take it for granted that (1) is ontologically innocent, and focus their attention either on (2) or on the transition from (1) to (2). We argue that both attempts go wrong at the first step: the assumption that (1) is ontologically innocent is undermined by a highly attractive and independently well-motivated degree-based account of number word constructions. Thus the degree-based account provides a straightforward linguistic resolution of the puzzle of how we can get something from nothing. But the paper also has a second aim. The semantics we present treats ‘seven’ as a referring expression that refers to a degree of a certain sort. But what are degrees? We consider various anti-platonist proposals that seek to account for degrees in terms of relations between concrete entities, and argue that they are incompatible with the Universal Density of Measurement hypothesis (UDM) of Fox and Hackl (Linguist Philos 29:537–586, 2006). While the UDM cannot yet claim to be the consensus view among degree-based semanticists, our aim is to use it to illustrate how views about the nature of degrees can be evaluated by considering the properties degrees must have if they are to play the explanatory roles they are called upon to play in linguistics. In the present state of development of degree-based semantics there are difficult open questions about what these properties are. These questions need to be addressed if we are to develop a clear picture of what natural language semantics has to contribute to ontology and metaphysics.",LINGUISTICS AND PHILOSOPHY
10.1007/s10988-017-9218-7,Craige Roberts; Stewart Shapiro,Ontology via semantics? Introduction to the special issue on the semantics of cardinals,2017,"As introduction to the special issue on the semantics of cardinals, we offer some background on the relevant literature, and an overview of the contributions to this volume. Most of these papers were presented in earlier form at an interdisciplinary workshop on the topic at The Ohio State University, and the contributions to this issue reflect that interdisciplinary character: the authors represent both fields in the title of this journal.",LINGUISTICS AND PHILOSOPHY
10.1007/s10988-017-9214-y,Friederike Moltmann,Number words as number names,2017,"This paper criticizes the view that number words in argument position retain the meaning they have on an adjectival or determiner use (a generalized quantifier or plural property), as argued by Hofweber (Philos Rev 114(2):179–225, 2005) and Moltmann (Philos Stud 162(3):499–534, 2013a, Abstract objects and the semantics of natural language, Oxford University Press, Oxford, 2013b). In particular the paper re-evaluates syntactic evidence from German given in Moltmann (2013a, b) to that effect.",LINGUISTICS AND PHILOSOPHY
10.1007/s10988-014-9157-5,Kristen A. Greer,Extensionality in natural language quantification: the case of many and few,2014,"This paper presents an extensional account of manyand few that explains data that have previously motivated intensional analyses of these quantifiers (cf. Fernando and Kamp, Proceedings of semantics and linguistic theory, 1996; Lappin, Linguist Philos, 23(6):599–620, 2000). The key insight is that their semantic arguments are themselves set intersections: the restrictor is the intersection of the predicates denoted by the N’ or the V’ and the restricted universe, U, and the scope is the intersection of the N’ and V’. Following Cohen (J Semant, 16:43–65, 1999 ; Nat Lang Semant, 9:41–67, 2001), I assume that the universe consists of the union of alternatives to the nominal and verbal predicates, where an alternative to a property ψ is one that shares a pragmatic presupposition with ψ, and a pragmatic presupposition is one that is selected by context from a set of potential presuppositions associated with the sentence. A many/few-quantified sentence is then true iff the proportion of the scope to the restrictor is greater/less than some threshold, n. In addition to explaining various problematic cases from the literature, the analysis shows how the readings of a many/few-quantified sentence (proportional, reverse, focus-affected, and cardinal) can be derived from the same syntactico-semantic structure, it being unnecessary to claim lexical or structural ambiguity. The analysis also provides strong support for the idea that natural language quantification is always purely extensional.",LINGUISTICS AND PHILOSOPHY
10.1007/s10988-014-9156-6,Christopher Gauker,How many bare demonstratives are there in English?,2014,"In order to capture our intuitions about the logical consistency of sentences and the logical validity of arguments, a semantics for a natural language has to allow for the fact that different occurrences of a single bare demonstrative, such as “this”, may refer to different objects. But it is not obvious how to formulate a semantic theory in order to achieve this result. This paper first criticizes several proposals: that we should formulate our semantics as a semantics for tokens, not expressions, Kaplan’s idea that syntax associates a demonstration with each occurrence of a demonstrative, Braun’s idea that a context may specify shifts in context across the evaluation of the expressions in a sentence; and Predelli’s idea that we should countenance different classes of contexts. Finally, a solution is proposed that allows that a natural language persists across the addition of basic lexical items but defines logical properties in terms of language stages. A surprising result is that we do not need to think of demonstratives as taking different referents in different situations.",LINGUISTICS AND PHILOSOPHY
10.1007/s10988-014-9154-8,Melissa Fusco,Free choice permission and the counterfactuals of pragmatics,2014,"This paper addresses a little puzzle with a surprisingly long pedigree and a surprisingly large wake: the puzzle of Free Choice Permission. I begin by presenting a popular sketch of a pragmatic solution to the puzzle, due to Kratzer and Shimoyama (Proceedings of the third Tokyo conference on psycholinguistics, 2002), which has received a good deal of discussion, endorsement and elaboration in recent work (Aloni and van Rooij, Proccedings of the KNAW Academy Colloquium: Cognitive foundations of interpretation, 2004; Alonso-Ovalle, Ph.D. thesis, 2006; Chierchia, Linguist Inq 37(4):535–590, 2006; Fox, in: Sauerland and Stateva (eds.) Presupposition and implicature in compositional semantics, 2007; Geurts, Mind Lang 24:51–79, 2009; von Fintel, Central APA session on Deontic Modals, 2012). I then explain why the general form of the Kratzer and Shimoyama explanation is not extensionally adequate. This leaves us with two possibilities with regard to the original solution-sketch; either the suggested pragmatic route fails, or it succeeds in a particularly strange way: Free Choice permission is rendered a kind pragmatic illusion on the part of both speakers and hearers. Finally, I discuss some ramifications.",LINGUISTICS AND PHILOSOPHY
10.1007/BF00627708,Barry Richards,On interpreting pronouns,1984,,LINGUISTICS AND PHILOSOPHY
10.1007/BF00627706,Joan Maling,Non-clause-bounded reflexives in modern Icelandic,1984,,LINGUISTICS AND PHILOSOPHY
