doi,author,title,year,abstract,journal
10.32473/sal.v22i3.107420,Christopher Ehret,The consonant inventory of Proto-Eastern Cushitic,1991,"Hans-Jiirgen Sasse established a solid initial reconstruction of the proto-Eastern Cushitic (PEC) consonants. This initial system had about 20 to 23 consonants. Further work by Linda Arvanites indicated the existence of several additional consonants. The current work rounds out the PEC consonant system and shows it to consist of 30 consonants in all. These for a moderately well-balanced system of voiced stops, voiced implosives in four different positions of articulation, and voiceless stops and ejective stops in three different positions of articuation. PEC also had five non-laryngeal fricatives, the full array of laryngeals that one has come to expect from Afroasiatic languages, l, r, w, y, and most interestingly, four different nasals, includingp and 1), this latter distinction not widely recognized as a feature of Afroasiatic. A side effect of this reconstruction is a first provisional history of the reflexes in Eastern Cushitic languages of PEC geminates. Along with this history, an explanation is proposed for the derivation of the Yaaku 7 -vowel system from the PEC system of 5 vowels, long and short.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v22i3.107419,Janet Mueller Bing,Color terms and lexical classes in Krahn Wobe,1991,"Many West African languages lack a separate category of adjectives; Krahn and Wore are also said to lack this lexical class. However, an examination of color terms in the Gborbo dialect of Liberian Krahn reveals a class of words which are neither nouns or verbs After describing the syntactic behavior of nouns and verbs and color nouns and verbs, it is shown that a third class of color words must be considered adjectives. The data supports proposals by Givon and Dixon that, universally, lexical categories are semantically based.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v22i3.107421,Jennifer Rowe,The conditional particle ka in Waama.pdf,1991,"The particle ka in Waama has an underlying conditional function, and serves most frequently to set up possible worlds in the minds of interlocutors. By virtue of its function as a conditional, it can also mark topics. It occurs as the basis of conditional-type structures, including conditionals, contrafactuals, and concessions. It also serves to express options, exceptions, and complements of some verbs of uncertainty. When functioning within a discourse, ka may also serve to introduce an adverbial time clause which recapitulates given information.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v37i2.107295,Michael Kenstowicz,On the origin of tonal classes in Kinande noun stems,2008,"This paper investigates the Proto-Bantu origins of the principal tonal classes in Kinande nonderived mono- and disyllabic nominal stems. The temary H vs. L vs. 0 distinction in the final syllable of the current language is traced back to a binary H vs. L contrast in Proto Bantu on the basis of two strata of reconstruction: first, a shallow one based on c. 200 PB cognates shared with the closely related Lacustrine languages Runyankore, Haya, and lita, and second, a deeper one based on c. 100 PB cognates shared with the more distantly related Congolese languages Tembo, Luba, and Lingala. A chronology of tone changes is postulated in which different sequencing of the same changes as well as altemative phonologizations of ambiguous phonetic structures playa key role.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v37i2.107296,Michael R. Marlo,Tura verbal tonology,2008,"This article provides a comprehensive description and analysis of the verbal tone system of Tura, a previously undocumented dialect of Luyia (Bantu, Kenya, J.30). Tura has many tonal Patterns marking tense-aspect-mood-polarity distinctions that are characterized by a grammatical (""melodic"") H tone on different positions of the verb stem. The realization of melodic Hs depends on the prosody of the verb stem (number of syllables, syllable weight, C-initial vs. V initial) and complex interactions with H-toned prefixes. Some melodic Hs surface whether or not there is a H-toned prefix; others do not surface after a H toned prefix; and one surfaces only in combination with a H-toned prefix. Some melodic Hs block the H of the reflexive from surfacing; others are blocked from surfacing by the reflexive H; and another surfaces along with the reflexive H. The article describes and analyzes these and other cross-melody differences in the Tura tonal system as well as variation between two speakers of the dialect.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v14i1.107534,John Victor Singler,Vowel harmony in Klao linear and nonlinear analyses,1983,"Klao, a Kru language spoken in Liberia, has a nine-vowel system. Like most other Kru languages, it displays harmony sensitive to pharyngeal constriction (tongue-root retraction). What gives the Klao vowel-harmony system special interest is the fact that a great deal of variation occurs, suggesting that vowel harmony is in some way optional. This provides a counter-example to the claim (made in Clements [1977l) that root-controlled vowel harmony is always obligatory. Given this optionality, the question arises as to which model best captures the facts of Klao vowel harmony. 'l,w frameworks are considered: one, along the lines of Anderson [1930], treats vowel harmony as one more assimilation rule, and the other, following the model found in Clements [1981] handles vowel harmony autosegmentally.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v14i1.107533,Robert Carlson,Downstep in Supyire,1983,"Downstep in the vast majority of cases can be traced to the influence of a low tone [Hyman 1979]. This paper discusses the case of Supyire, a three tone language with downstep unrelated to low tone. Sequences of high tones are automatically downstepped. Confusion with mid tone is in most cases avoided by a rule which raises mid to high tone; the two rules together creating a ""flip-flop"" effect. Supyire also has automatic downdrift of mid and high tones following a low tone. It thus presents an unusual combination of downstep and downdrift in the same language, but unrelated to each other.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v14i1.107535,Edward H. Ubels,Mood and aspect in Karang,1983,"The paper describes the formal and semantic properties of the mood and aspect categories of the Adamawa language, Karang. Three inherent aspect verb classes are established--events, processes, and states--on the basis of semantic and morphological distinctions. A fundamental opposition of the mood-aspect system is between factive and non-factive moods, which distinguish actual and potential situations. Non-factive mood is formally indicated by a high tone and subdivides into the categories subjunctive, predictive, and nonpredictive. Verbo-nominals are marked as non-factive. The formal categories of aspect are progressive, habitual, perfect, and nonperfect. When inherent and formal aspect categories with semantically contradictory components are combined, inherent aspect is overriden. The perfective meaning of the perfect category also overrides the imperfective meaning of the progressive.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v14i1.107532,Yiwola Awoyale,On the development of the verb infinitive phrase in Yoruba,1983,"This paper will concentrate on a type of verb complement structure referred to as the HTS construction in Yoruba, essentially to show four points: a. that it is an older form of the verb-infinitive phrase in Yoruba, out of which the infinitival gerunds, the a-ti complements, and (by a historical change) the serial verbal constructions originate; b. that the HTS construction is different from (and should not be confused with) the infinitival gerunds, since they are demonstrably distinct constructions; the infinitival gerunds which do not have HTS equivalents number in the hundreds, far too many to be exceptions; c. that the HTS constructions show Yoruba to be related to neighboring Kwa languages like Igbo, Itsekiri and Efik. Furthermore, the serial verb constructions will be shown to be far more productive and economical than the HTS constructions, the infinitival gerunds, and the a-ti complements; hence the former's gradual replacement of the latter, probably to suggest a direction of change (from relative complexity to relative simplicity and productivity); and lastly d. that it will become necessary to modify a portion of the orthography of the language to accomodate these new facts.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v38i1.107292,Mahaman Bachir Attouman,Emplois et valeurs des marqueurs way et mana en Hawsa,2009,"Le but de cet article est de présenter deux marqueurs en Hawsa dans leur fonctionnement et leurs valeurs, wáy et mànà. Wáy exprime une valeur modale qui se réalise sous la forme soit d’un renvoi à autrui soit d’un recours à autrui. Quant à mànà, ses deux significations de réitération renforcée d’une injonction et de confirmation, elles peuvent être ramenées à une seule et même opération de reprise identificatrice d’un énoncé antérieur après que sa validation ait rencontré un obstacle.",STUDIES IN AFRICAN LINGUISTICS
